527,Radiologi,RFA vena adrenal bilateral dengan kontras IV,Permintaan & Hasil,30844-5,RFA Adrenal vein - bilateral Views W contrast IV,Views^W contrast IV,Find,Pt,Abdomen>Adrenal vein.bilateral,Doc,RF.angio,,http://loinc.org,,,
528,Radiologi,RFA vena adrenal kanan dengan kontras IV,Permintaan & Hasil,37940-4,RFA Adrenal vein - right Views W contrast IV,Views^W contrast IV,Find,Pt,Abdomen>Adrenal vein.right,Doc,RF.angio,,http://loinc.org,,,
529,Radiologi,RFA vena adrenal kiri dengan kontras IV,Permintaan & Hasil,37602-0,RFA Adrenal vein - left Views W contrast IV,Views^W contrast IV,Find,Pt,Abdomen>Adrenal vein.left,Doc,RF.angio,,http://loinc.org,,,
530,Radiologi,RFA vena cava inferior dengan kontras IV,Permintaan & Hasil,30845-2,RFA Inferior vena cava Views W contrast IV,Views^W contrast IV,Find,Pt,Abdomen>Vena cava.inferior,Doc,RF.angio,,http://loinc.org,,,
531,Radiologi,RFA vena cava superior dengan kontras IV,Permintaan & Hasil,30645-6,RFA Superior vena cava Views W contrast IV,Views^W contrast IV,Find,Pt,Chest>Vena cava.superior,Doc,RF.angio,,http://loinc.org,,,
532,Radiologi,RFA vena ekstremitas bilateral dengan kontras IV,Permintaan & Hasil,37412-4,RFA Extremity veins - bilateral Views W contrast IV,Views^W contrast IV,Find,Pt,Extremity.bilateral>Extremity veins,Doc,RF.angio,,http://loinc.org,,,
533,Radiologi,RFA vena ekstremitas unilateral dengan kontras IV,Permintaan & Hasil,86396-9,RFA Extremity veins - unilateral Views W contrast IV,Views^W contrast IV,Find,Pt,Extremity.unilateral>Extremity veins,Doc,RF.angio,,http://loinc.org,,,
534,Radiologi,RFA vena epidural dengan kontras IV,Permintaan & Hasil,30819-7,RFA Epidural veins Views W contrast IV,Views^W contrast IV,Find,Pt,XXX>Epidural veins,Doc,RF.angio,,http://loinc.org,,,
535,Radiologi,RFA vena ginjal bilateral dengan kontras IV,Permintaan & Hasil,30846-0,RFA Renal vein - bilateral Views W contrast IV,Views^W contrast IV,Find,Pt,Abdomen>Renal vein.bilateral,Doc,RF.angio,,http://loinc.org,,,
536,Radiologi,RFA vena ginjal unilateral dengan kontras IV,Permintaan & Hasil,86415-7,RFA Renal vein - unilateral Views W contrast IV,Views^W contrast IV,Find,Pt,Abdomen>Renal vein.unilateral,Doc,RF.angio,,http://loinc.org,,,
537,Radiologi,RFA vena hepatik evaluasi hemodinamik dengan kontras IV,Permintaan & Hasil,39096-3,RFA Hepatic veins Views for hemodynamics W contrast IV,Views for hemodynamics^W contrast IV,Find,Pt,Abdomen>Hepatic veins,Doc,RF.angio,,http://loinc.org,,,
538,Radiologi,RFA vena hepatik tanpa evaluasi hemodinamik dengan kontras IV,Permintaan & Hasil,39093-0,RFA Hepatic veins Views W contrast IV,Views^W contrast IV,Find,Pt,Abdomen>Hepatic veins,Doc,RF.angio,,http://loinc.org,,,
539,Radiologi,RFA vena orbita dengan kontras IV,Permintaan & Hasil,30825-4,RFA Orbit veins Views W contrast IV,Views^W contrast IV,Find,Pt,Head>Orbit veins,Doc,RF.angio,,http://loinc.org,,,
540,Radiologi,RFA vena sinus sagitalis superior dengan kontras IV,Permintaan & Hasil,37195-5,RFA Cerebral vein Views W contrast IV,Views^W contrast IV,Find,Pt,Head>Cerebral vein,Doc,RF.angio,,http://loinc.org,,,
541,Radiologi,RFA vena sinus venosus (petrosus dan sagital inferior) atau jugular dengan kontras IV,Permintaan & Hasil,37969-3,RFA Sinus vein Views W contrast IV,Views^W contrast IV,Find,Pt,Head>Sinus vein,Doc,RF.angio,,http://loinc.org,,,
542,Radiologi,US abdomen,Permintaan & Hasil,24558-9,US Abdomen,Multisection,Find,Pt,Abdomen,Doc,US,,http://loinc.org,,,
543,Radiologi,US abdomen atas,Permintaan & Hasil,24558-9,US Abdomen,Multisection,Find,Pt,Abdomen,Doc,US,,http://loinc.org,80581009,Upper abdomen structure,http://snomed.info/sct
544,Radiologi,US abdomen atas dan bawah,Permintaan & Hasil,24558-9,US Abdomen,Multisection,Find,Pt,Abdomen,Doc,US,,http://loinc.org,,,
545,Radiologi,US abdomen bawah,Permintaan & Hasil,24558-9,US Abdomen,Multisection,Find,Pt,Abdomen,Doc,US,,http://loinc.org,27033000,Lower abdomen structure,http://snomed.info/sct
546,Radiologi,US ankle,Permintaan & Hasil,30709-0,US Lower extremity,Multisection,Find,Pt,Lower extremity,Doc,US,,http://loinc.org,344001,Ankle region structure,http://snomed.info/sct
547,Radiologi,US ankle bilateral,Permintaan & Hasil,38013-9,US Lower extremity - bilateral,Multisection,Find,Pt,Lower extremity.bilateral,Doc,US,,http://loinc.org,729790008,Entire ankle joint cavity,http://snomed.info/sct
548,Radiologi,US appendiks,Permintaan & Hasil,24548-0,US Appendix,Multisection,Find,Pt,Abdomen+Pelvis>Appendix,Doc,US,,http://loinc.org,,,
549,Radiologi,US arteri ekstremitas inferior bilateral,Permintaan & Hasil,38130-1,US Lower extremity artery - bilateral,Multisection,Find,Pt,Lower extremity.bilateral>Lower extremity artery,Doc,US,,http://loinc.org,,,
550,Radiologi,US arteri ekstremitas inferior kanan,Permintaan & Hasil,41815-2,US Lower extremity artery - right,Multisection,Find,Pt,Lower extremity.right>Lower extremity artery,Doc,US,,http://loinc.org,,,
551,Radiologi,US arteri ekstremitas inferior kiri,Permintaan & Hasil,41834-3,US Lower extremity artery - left,Multisection,Find,Pt,Lower extremity.left>Lower extremity artery,Doc,US,,http://loinc.org,,,
552,Radiologi,US arteri ekstremitas superior bilateral,Permintaan & Hasil,38014-7,US Upper extremity artery - bilateral,Multisection,Find,Pt,Upper extremity.bilateral>Upper extremity artery,Doc,US,,http://loinc.org,,,
553,Radiologi,US arteri ekstremitas superior kanan,Permintaan & Hasil,41814-5,US Upper extremity artery - right,Multisection,Find,Pt,Upper extremity.right>Upper extremity artery,Doc,US,,http://loinc.org,,,
554,Radiologi,US arteri ekstremitas superior kiri,Permintaan & Hasil,41833-5,US Upper extremity artery - left,Multisection,Find,Pt,Upper extremity.left>Upper extremity artery,Doc,US,,http://loinc.org,,,
555,Radiologi,US bahu,Permintaan & Hasil,24907-8,US Shoulder,Multisection,Find,Pt,Upper extremity>Shoulder,Doc,US,,http://loinc.org,,,
556,Radiologi,US bahu bilateral,Permintaan & Hasil,26265-9,US Shoulder - bilateral,Multisection,Find,Pt,Upper extremity.bilateral>Shoulder,Doc,US,,http://loinc.org,,,
557,Radiologi,US coxae,Permintaan & Hasil,24760-1,US Hip,Multisection,Find,Pt,Lower extremity>Hip,Doc,US,,http://loinc.org,,,
558,Radiologi,US coxae bayi bilateral,Permintaan & Hasil,81164-6,US Pediatric limited Hip - bilateral,Multisection limited for pediatrics,Find,Pt,Lower extremity.bilateral>Hip,Doc,US,,http://loinc.org,,,
559,Radiologi,US diafragma,Permintaan & Hasil,24672-8,US Diaphragm for motion,Multisection for motion,Find,Pt,Chest>Diaphragm,Doc,US,,http://loinc.org,,,
560,Radiologi,"US doppler aorta thoracal dan abdomen, vena cava inferior serta arteri iliaka",Permintaan & Hasil,94681-4,US.doppler Thoracic and Abdominal Aorta and Inferior Vena Cava and Illiac vessels,Multisection,Find,Pt,Chest>Aorta.thoracic & Abdomen>Aorta.abdominal+Vena cava.inferior & Abdomen+Pelvis>Iliac vessels,Doc,US.doppler,,http://loinc.org,,,
561,Radiologi,"US doppler aorta thoracal dan abdomen, vena cava inferior serta arteri iliaka pemeriksaan terbatas",Permintaan & Hasil,94680-6,US.doppler Thoracic and Abdominal Aorta and Inferior Vena Cava and Illiac vessels limited,Multisection limited,Find,Pt,Chest>Aorta.thoracic & Abdomen>Aorta.abdominal+Vena cava.inferior & Abdomen+Pelvis>Iliac vessels,Doc,US.doppler,,http://loinc.org,,,
562,Radiologi,US doppler arteri carotis,Permintaan & Hasil,42146-1,US.doppler Carotid arteries,Multisection,Find,Pt,Head+Neck>Carotid arteries,Doc,US.doppler,,http://loinc.org,,,
563,Radiologi,US doppler arteri carotis pemeriksaan terbatas,Permintaan & Hasil,80850-1,US.doppler Carotid arteries limited,Multisection limited,Find,Pt,Head+Neck>Carotid arteries,Doc,US.doppler,,http://loinc.org,,,
564,Radiologi,US doppler arteri ekstermitas bilateral,Permintaan & Hasil,39031-0,US.doppler Extremity artery - bilateral,Multisection,Find,Pt,Extremity.bilateral>Extremity artery,Doc,US.doppler,,http://loinc.org,,,
565,Radiologi,US doppler arteri ekstremitas,Permintaan & Hasil,39042-7,US.doppler Extremity artery,Multisection,Find,Pt,Extremity>Extremity artery,Doc,US.doppler,,http://loinc.org,,,
566,Radiologi,US doppler arteri ekstremitas atas atau grafting arteri bilateral,Permintaan & Hasil,44237-6,US.doppler Upper extremity vessel - bilateral for graft limited,Multisection limited for graft,Find,Pt,Upper extremity.bilateral>Upper extremity vessel,Doc,US.doppler,,http://loinc.org,,,
567,Radiologi,US doppler arteri ekstremitas atas bilateral,Permintaan & Hasil,39423-9,US.doppler Upper extremity artery - bilateral,Multisection,Find,Pt,Upper extremity.bilateral>Upper extremity artery,Doc,US.doppler,,http://loinc.org,,,
568,Radiologi,US doppler arteri ekstremitas atas kanan,Permintaan & Hasil,39506-1,US.doppler Upper extremity artery - right,Multisection,Find,Pt,Upper extremity.right>Upper extremity artery,Doc,US.doppler,,http://loinc.org,,,
569,Radiologi,US doppler arteri ekstremitas atas kiri,Permintaan & Hasil,39500-4,US.doppler Upper extremity artery - left,Multisection,Find,Pt,Upper extremity.left>Upper extremity artery,Doc,US.doppler,,http://loinc.org,,,
570,Radiologi,US doppler arteri ekstremitas atas terbatas,Permintaan & Hasil,38143-4,US.doppler Upper extremity artery limited,Multisection limited,Find,Pt,Upper extremity>Upper extremity artery,Doc,US.doppler,,http://loinc.org,,,
571,Radiologi,US doppler arteri ekstremitas atas untuk grafting arteri kanan,Permintaan & Hasil,42476-2,US.doppler Upper extremity vessel - right for graft,Multisection for graft,Find,Pt,Upper extremity.right>Upper extremity vessel,Doc,US.doppler,,http://loinc.org,,,
572,Radiologi,US doppler arteri ekstremitas atas untuk grafting arteri kiri,Permintaan & Hasil,42475-4,US.doppler Upper extremity vessel - left for graft,Multisection for graft,Find,Pt,Upper extremity.left>Upper extremity vessel,Doc,US.doppler,,http://loinc.org,,,
573,Radiologi,US doppler arteri ekstremitas bawah bilateral lengkap,Permintaan & Hasil,39421-3,US.doppler Lower extremity artery - bilateral,Multisection,Find,Pt,Lower extremity.bilateral>Lower extremity artery,Doc,US.doppler,,http://loinc.org,,,
574,Radiologi,US doppler arteri ekstremitas bawah kanan,Permintaan & Hasil,39505-3,US.doppler Lower extremity artery - right,Multisection,Find,Pt,Lower extremity.right>Lower extremity artery,Doc,US.doppler,,http://loinc.org,,,
575,Radiologi,US doppler arteri ekstremitas bawah kiri,Permintaan & Hasil,39499-9,US.doppler Lower extremity artery - left,Multisection,Find,Pt,Lower extremity.left>Lower extremity artery,Doc,US.doppler,,http://loinc.org,,,
576,Radiologi,US doppler arteri ekstremitas bawah terbatas,Permintaan & Hasil,38042-8,US.doppler Lower extremity artery limited,Multisection limited,Find,Pt,Lower extremity>Lower extremity artery,Doc,US.doppler,,http://loinc.org,,,
577,Radiologi,US doppler arteri ekstremitas bawah untuk grafting arteri kanan,Permintaan & Hasil,42462-2,US.doppler Lower extremity vessel - right for graft,Multisection for graft,Find,Pt,Lower extremity.right>Lower extremity vessel,Doc,US.doppler,,http://loinc.org,,,
578,Radiologi,US doppler arteri ekstremitas bawah untuk grafting arteri kiri,Permintaan & Hasil,42461-4,US.doppler Lower extremity vessel - left for graft,Multisection for graft,Find,Pt,Lower extremity.left>Lower extremity vessel,Doc,US.doppler,,http://loinc.org,,,
579,Radiologi,US doppler arteri intra kranial pemeriksaan lengkap,Permintaan & Hasil,24733-8,US.doppler Head vessels,Multisection,Find,Pt,Head>Head vessels,Doc,US.doppler,,http://loinc.org,,,
580,Radiologi,US doppler arteri intra kranial pemeriksaan terbatas,Permintaan & Hasil,39044-3,US.doppler Head vessels limited,Multisection limited,Find,Pt,Head>Head vessels,Doc,US.doppler,,http://loinc.org,,,
581,Radiologi,US doppler echocardiografi,Permintaan & Hasil,80859-2,US.doppler Heart,Multisection,Find,Pt,Chest>Heart,Doc,US.doppler,,http://loinc.org,,,
582,Radiologi,US doppler kepala anak,Permintaan & Hasil,81160-4,US.doppler Pediatric limited Head,Multisection limited for pediatrics,Find,Pt,Head,Doc,US.doppler,,http://loinc.org,,,
583,Radiologi,US doppler pembuluh darah abdomen,Permintaan & Hasil,24534-0,US.doppler Abdominal vessels,Multisection,Find,Pt,Abdomen>Abdominal vessels,Doc,US.doppler,,http://loinc.org,,,
584,Radiologi,US doppler pembuluh darah abdomen atas,Permintaan & Hasil,24534-0,US.doppler Abdominal vessels,Multisection,Find,Pt,Abdomen>Abdominal vessels,Doc,US.doppler,,http://loinc.org,80581009,Upper abdomen structure,http://snomed.info/sct
585,Radiologi,US doppler pembuluh darah abdomen bawah (ginjal),Permintaan & Hasil,39426-2,US.doppler Renal vessels,Multisection,Find,Pt,Abdomen>Renal vessels,Doc,US.doppler,,http://loinc.org,,,
586,Radiologi,US doppler pembuluh darah abdomen lengkap,Permintaan & Hasil,24534-0,US.doppler Abdominal vessels,Multisection,Find,Pt,Abdomen>Abdominal vessels,Doc,US.doppler,,http://loinc.org,,,
587,Radiologi,US doppler pembuluh darah abdomen pemeriksaan terbatas,Permintaan & Hasil,43572-7,US.doppler Abdominal vessels limited,Multisection limited,Find,Pt,Abdomen>Abdominal vessels,Doc,US.doppler,,http://loinc.org,,,
588,Radiologi,US doppler pembuluh darah ekstremitas bawah kanan,Permintaan & Hasil,39442-9,US.doppler Lower extremity vessels - right,Multisection,Find,Pt,Lower extremity.right>Lower extremity vessels,Doc,US.doppler,,http://loinc.org,,,
589,Radiologi,US doppler pembuluh darah ekstremitas bawah kiri,Permintaan & Hasil,39431-2,US.doppler Lower extremity vessels - left,Multisection,Find,Pt,Lower extremity.left>Lower extremity vessels,Doc,US.doppler,,http://loinc.org,,,
590,Radiologi,US doppler pembuluh darah ekstremitas superior bilateral,Permintaan & Hasil,46379-4,US.doppler Upper extremity vessels - bilateral,Multisection,Find,Pt,Upper extremity.bilateral>Upper extremity vessels,Doc,US.doppler,,http://loinc.org,,,
591,Radiologi,US doppler pembuluh darah ekstremitas superior kanan,Permintaan & Hasil,39444-5,US.doppler Upper extremity vessels - right,Multisection,Find,Pt,Upper extremity.right>Upper extremity vessels,Doc,US.doppler,,http://loinc.org,,,
592,Radiologi,US doppler pembuluh darah ekstremitas superior kiri,Permintaan & Hasil,39433-8,US.doppler Upper extremity vessels - left,Multisection,Find,Pt,Upper extremity.left>Upper extremity vessels,Doc,US.doppler,,http://loinc.org,,,
593,Radiologi,US doppler pembuluh darah ginjal dan renovascular,Permintaan & Hasil,39426-2,US.doppler Renal vessels,Multisection,Find,Pt,Abdomen>Renal vessels,Doc,US.doppler,,http://loinc.org,,,
594,Radiologi,US doppler pembuluh darah jantimg,Permintaan & Hasil,80859-2,US.doppler Heart,Multisection,Find,Pt,Chest>Heart,Doc,US.doppler,,http://loinc.org,,,
595,Radiologi,US doppler pembuluh darah pelvis pemeriksaan terbatas,Permintaan & Hasil,42152-9,US.doppler Pelvis vessels limited,Multisection limited,Find,Pt,Pelvis>Pelvis vessels,Doc,US.doppler,,http://loinc.org,,,
596,Radiologi,US doppler pembuluh darah penis pemeriksaan lengkap,Permintaan & Hasil,80874-1,US.doppler Penis vessels,Multisection,Find,Pt,Pelvis>Penis vessels,Doc,US.doppler,,http://loinc.org,,,
597,Radiologi,US doppler pembuluh darah penis pemeriksaan terbatas,Permintaan & Hasil,80873-3,US.doppler Penis limited,Multisection limited,Find,Pt,Pelvis>Penis,Doc,US.doppler,,http://loinc.org,,,
598,Radiologi,US doppler pembuluh darah testis,Permintaan & Hasil,39446-0,US.doppler Testicular vessels,Multisection,Find,Pt,Pelvis>Testicular vessels,Doc,US.doppler,,http://loinc.org,,,
599,Radiologi,US doppler skrotum,Permintaan & Hasil,48742-1,US.doppler Scrotum and testicle,Multisection,Find,Pt,Pelvis>Scrotum+Testicle,Doc,US.doppler,,http://loinc.org,,,
600,Radiologi,US doppler superfisial,Permintaan & Hasil,X099262,US doppler superfisial,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,
601,Radiologi,US doppler untuk SIS (Saline Infusion Sonohysterography),Permintaan & Hasil,80872-5,US.doppler Uterus and Fallopian tubes W saline IU,Multisection^W saline IU,Find,Pt,Pelvis>Uterus+Fallopian tubes,Doc,US.doppler,,http://loinc.org,,,
602,Radiologi,US doppler vena ekstremitas,Permintaan & Hasil,39449-4,US.doppler Extremity vein,Multisection,Find,Pt,Extremity>Extremity vein,Doc,US.doppler,,http://loinc.org,,,
603,Radiologi,US doppler vena ekstremitas atas kanan,Permintaan & Hasil,39507-9,US.doppler Upper extremity vein - right,Multisection,Find,Pt,Upper extremity.right>Upper extremity vein,Doc,US.doppler,,http://loinc.org,,,
604,Radiologi,US doppler vena ekstremitas atas kiri,Permintaan & Hasil,39501-2,US.doppler Upper extremity vein - left,Multisection,Find,Pt,Upper extremity.left>Upper extremity vein,Doc,US.doppler,,http://loinc.org,,,
605,Radiologi,US doppler vena ekstremitas bilateral,Permintaan & Hasil,39418-9,US.doppler Extremity vein - bilateral,Multisection,Find,Pt,Extremity.bilateral>Extremity vein,Doc,US.doppler,,http://loinc.org,,,
606,Radiologi,US doppler vena ekstremitas bilateral lengkap,Permintaan & Hasil,69283-0,US.doppler Extremity veins - bilateral,Multisection,Find,Pt,Extremity.bilateral>Extremity veins,Doc,US.doppler,,http://loinc.org,,,
607,Radiologi,US doppler vena ekstremitas kanan,Permintaan & Hasil,39440-3,US.doppler Extremity vein - right,Multisection,Find,Pt,Extremity.right>Extremity vein,Doc,US.doppler,,http://loinc.org,,,
608,Radiologi,US doppler vena ekstremitas kiri,Permintaan & Hasil,39429-6,US.doppler Extremity vein - left,Multisection,Find,Pt,Extremity.left>Extremity vein,Doc,US.doppler,,http://loinc.org,,,
609,Radiologi,US DVT (Deep Vein Thrombosis) kanan,Permintaan & Hasil,39443-7,US.doppler Lower extremity vein - right,Multisection,Find,Pt,Lower extremity.right>Lower extremity vein,Doc,US.doppler,,http://loinc.org,,,
610,Radiologi,US DVT (Deep Vein Thrombosis) kiri,Permintaan & Hasil,39432-0,US.doppler Lower extremity vein - left,Multisection,Find,Pt,Lower extremity.left>Lower extremity vein,Doc,US.doppler,,http://loinc.org,,,
611,Radiologi,US echocardiografi dengan pemakaian zat kontras,Permintaan & Hasil,42148-7,US Heart,Multisection,Find,Pt,Chest>Heart,Doc,US,,http://loinc.org,,,
612,Radiologi,US echocardiografi transesofagus,Permintaan & Hasil,85475-2,US Heart Transesophageal,Multisection transesophageal,Find,Pt,Chest>Heart,Doc,US,,http://loinc.org,,,
613,Radiologi,US echocardiografi transthorakal,Permintaan & Hasil,59281-6,US Heart Transthoracic,Multisection transthoracic,Find,Pt,Chest>Heart,Doc,US,,http://loinc.org,,,
614,Radiologi,US ekoensefalografi B-scan,Permintaan & Hasil,24731-2,US Head,Multisection,Find,Pt,Head,Doc,US,,http://loinc.org,,,
615,Radiologi,US ekstremitas lengkap,Permintaan & Hasil,24693-4,US Extremity,Multisection,Find,Pt,Extremity,Doc,US,,http://loinc.org,,,
616,Radiologi,US ekstremitas terbatas,Permintaan & Hasil,39526-9,US Extremity limited,Multisection limited,Find,Pt,Extremity,Doc,US,,http://loinc.org,,,
617,Radiologi,US empedu,Permintaan & Hasil,24711-4,US Gallbladder,Multisection,Find,Pt,Abdomen>Gallbladder,Doc,US,,http://loinc.org,,,
618,Radiologi,US FAST abdomen,Permintaan & Hasil,30704-1,US Abdomen limited,Multisection limited,Find,Pt,Abdomen,Doc,US,,http://loinc.org,,,
619,Radiologi,US fetal nuchal translucency,Hasil,33069-6,Fetal nuchal translucency measured by US,Width.translucency,Len,Pt,Neck.soft tissue^Fetus,Qn,US.measured,mm,http://loinc.org,,,
620,Radiologi,US genu,Permintaan & Hasil,24881-5,US Popliteal space,Multisection,Find,Pt,Lower extremity>Popliteal space,Doc,US,,http://loinc.org,,,
621,Radiologi,US genu bilateral dengan kontras,Permintaan & Hasil,X099263,US genu bilateral dengan kontras,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,
622,Radiologi,US genu dengan kontras,Permintaan & Hasil,X099264,US genu dengan kontras,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,
623,Radiologi,US ginjal,Permintaan & Hasil,38036-0,US Kidney,Multisection,Find,Pt,Abdomen>Kidney,Doc,US,,http://loinc.org,,,
624,Radiologi,US ginjal dan saluran kemih,Permintaan & Hasil,69402-6,US Kidney - bilateral and Urinary bladder,Multisection,Find,Pt,Abdomen>Kidney.bilateral & Pelvis>Urinary bladder,Doc,US,,http://loinc.org,,,
625,Radiologi,US guidance ablasi leiomyomata uteri ,Permintaan & Hasil,58743-6,US Guidance for ablation of tissue of Unspecified body region,Guidance for ablation of tissue,Find,Pt,XXX,Doc,US,,http://loinc.org,35039007,Uterine structure,http://snomed.info/sct
626,Radiologi,US guidance biopsi atau pengeluaran cairan,Permintaan & Hasil,25059-7,US Guidance for biopsy of Unspecified body region,Guidance for percutaneous biopsy,Find,Pt,XXX,Doc,US,,http://loinc.org,,,
627,Radiologi,US guidance injeksi elbow ,Permintaan & Hasil,80853-5,US Guidance for injection of Elbow,Guidance for injection,Find,Pt,Upper extremity>Elbow,Doc,US,,http://loinc.org,,,
628,Radiologi,US guidance injeksi elbow bilalteral,Permintaan & Hasil,97396-6,US Guidance for injection of Elbow - bilateral,Guidance for injection,Find,Pt,Upper extremity.bilateral>Elbow,Doc,US,,http://loinc.org,,,
629,Radiologi,US guidance intraoperasi,Permintaan & Hasil,80882-4,US Guidance of Unspecified body region-- during surgery,Guidance^during surgery,Find,Pt,XXX,Doc,US,,http://loinc.org,,,
630,Radiologi,US guidance untuk akses vaskular ,Permintaan & Hasil,39139-1,US Guidance for vascular access of Unspecified body region,Guidance for vascular access,Find,Pt,XXX,Doc,US,,http://loinc.org,,,
631,Radiologi,US guidance untuk amniosentesis,Permintaan & Hasil,24537-3,US Guidance for aspiration of amniotic fluid of Uterus,Guidance for aspiration of amniotic fluid,Find,Pt,Pelvis>Uterus,Doc,US,,http://loinc.org,,,
632,Radiologi,US guidance untuk aspirasi sel telur,Permintaan & Hasil,39452-8,US Guidance for fluid aspiration of Ovary,Guidance for percutaneous aspiration of fluid,Find,Pt,Pelvis>Ovary,Doc,US,,http://loinc.org,,,
633,Radiologi,US guidance untuk biopsi endomiokardium,Permintaan & Hasil,42463-0,US Guidance for biopsy of Endomyocardium,Guidance for percutaneous biopsy,Find,Pt,Chest>Endomyocardium,Doc,US,,http://loinc.org,,,
634,Radiologi,US guidance untuk monitoring ablasi jaringan viseral,Permintaan & Hasil,58743-6,US Guidance for ablation of tissue of Unspecified body region,Guidance for ablation of tissue,Find,Pt,XXX,Doc,US,,http://loinc.org,,,
635,Radiologi,"US guidance untuk pemasangan jarum (biopsi, aspirasi, injeksi, lokalisasi alat)",Permintaan & Hasil,64993-9,US Guidance for placement of needle in Unspecified body region,Guidance for placement of needle,Find,Pt,XXX,Doc,US,,http://loinc.org,,,
636,Radiologi,US guidance untuk pemasangan lapang radiasi terapi,Permintaan & Hasil,43487-8,US Guidance for placement of radiation therapy fields in Unspecified body region,Guidance for placement of radiation therapy fields,Find,Pt,XXX,Doc,US,,http://loinc.org,,,
637,Radiologi,US guidance untuk pemasangan radioelemen interstisial,Permintaan & Hasil,82124-9,US Guidance for radiation treatment of Unspecified body region,Guidance for radiation treatment,Find,Pt,XXX,Doc,US,,http://loinc.org,,,
638,Radiologi,US guidance untuk perbaikan kompresi pseudoaneurisma arteri atau fistula arteriovena ,Permintaan & Hasil,39040-1,US AV fistula,Multisection,Find,Pt,XXX>AV fistula,Doc,US,,http://loinc.org,,,
639,Radiologi,US guidance untuk perikardiosentesis,Permintaan & Hasil,30703-3,US Guidance for fluid aspiration of Pericardial space,Guidance for percutaneous aspiration of fluid,Find,Pt,Chest>Pericardial space,Doc,US,,http://loinc.org,,,
640,Radiologi,US guidance untuk sampling vilus korion,Permintaan & Hasil,69400-0,US Guidance for chorionic villus sampling,Guidance for tissue sampling of chorionic villus,Find,Pt,Pelvis>Placenta,Doc,US,,http://loinc.org,,,
641,Radiologi,US guidance untuk transfusi janin intrauterin atau kordosentesis,Permintaan & Hasil,69391-1,US Guidance for cordocentesis,Guidance for percutaneous aspiration of fluid,Find,Pt,Umbilical cord^Fetus,Doc,US,,http://loinc.org,,,
642,Radiologi,US hip anak,Permintaan & Hasil,81164-6,US Pediatric limited Hip - bilateral,Multisection limited for pediatrics,Find,Pt,Lower extremity.bilateral>Hip,Doc,US,,http://loinc.org,,,
643,Radiologi,US inguinal,Permintaan & Hasil,24719-7,US Groin,Multisection,Find,Pt,Pelvis>Groin,Doc,US,,http://loinc.org,,,
644,Radiologi,US jaringan lunak kepala dan leher,Permintaan & Hasil,80858-4,US Head and neck soft tissue,Multisection,Find,Pt,Head+Neck>Soft tissue,Doc,US,,http://loinc.org,,,
645,Radiologi,US kanalis spinalis dan isi,Permintaan & Hasil,X099265,US kanalis spinalis dan isi,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,
646,Radiologi,US kehamilan,Permintaan & Hasil,11525-3,US for pregnancy,Multisection for pregnancy,Find,Pt,Pelvis+^Fetus,Doc,US,,http://loinc.org,,,
647,Radiologi,US kehamilan kembar trimester 1,Permintaan & Hasil,80834-5,US for multiple gestation pregnancy in first trimester,Multisection for multiple gestation pregnancy+first trimester,Find,Pt,Pelvis+^Fetus,Doc,US,,http://loinc.org,,,
648,Radiologi,US kehamilan kembar trimester 1 (transabdominal dan transvaginal),Permintaan & Hasil,80835-2,US transabdominal and transvaginal for multiple gestation pregnancy in first trimester,Multisection transabdominal + transvaginal for multiple gestation pregnancy+first trimester,Find,Pt,Pelvis+^Fetus,Doc,US,,http://loinc.org,,,
649,Radiologi,US kehamilan kembar trimester 2 atau 3,Permintaan & Hasil,80836-0,US for multiple gestation pregnancy in second or third trimester,Multisection for multiple gestation pregnancy+second or third trimester,Find,Pt,Pelvis+^Fetus,Doc,US,,http://loinc.org,,,
650,Radiologi,US kehamilan tunggal trimester 1,Permintaan & Hasil,80869-1,US for pregnancy in first trimester,Multisection for pregnancy+first trimester,Find,Pt,Pelvis+^Fetus,Doc,US,,http://loinc.org,,,
651,Radiologi,US kehamilan tunggal trimester 1 (transabdominal dan transvaginal),Permintaan & Hasil,80867-5,US transabdominal and transvaginal for pregnancy in first trimester,Multisection transabdominal + transvaginal for pregnancy+first trimester,Find,Pt,Pelvis+^Fetus,Doc,US,,http://loinc.org,,,
652,Radiologi,US kehamilan tunggal trimester 2 atau 3,Permintaan & Hasil,80866-7,US for pregnancy in second or third trimester,Multisection for pregnancy+second or third trimester,Find,Pt,Pelvis+^Fetus,Doc,US,,http://loinc.org,,,
653,Radiologi,US kepala anak,Permintaan & Hasil,81158-8,US Pediatric Head,Multisection for pediatrics,Find,Pt,Head,Doc,US,,http://loinc.org,,,
654,Radiologi,US leher,Permintaan & Hasil,24842-7,US Neck,Multisection,Find,Pt,Neck,Doc,US,,http://loinc.org,,,
655,Radiologi,US leher lengkap,Permintaan & Hasil,24842-7,US Neck,Multisection,Find,Pt,Neck,Doc,US,,http://loinc.org,,,
656,Radiologi,US liver,Permintaan & Hasil,28614-6,US Liver,Multisection,Find,Pt,Abdomen>Liver,Doc,US,,http://loinc.org,,,
